skill,question_index,type,question,choices,skill_url
Determine the main idea of a passage,1,multiple-choice,"Read the passage. Blooms in Death Valley In March 2016, Death Valley National Park in the US state of California experienced a rare occurrence: thousands of yellow wildflowers covered the region in a 'super bloom'. Why was this unusual? Death Valley is the hottest and driest place in North America. The area's average yearly precipitation is just five centimetres, making it a challenging place for flowers to grow. However, in October 2015, the valley had received more than eight centimetres of rain in some areas. As a result of the unusually wet season, wildflower seeds that had been lying dormant underground suddenly began to grow, producing an abundance of golden blooms. What is the main, or central, idea of the passage?","Because of the hot, dry conditions in Death Valley, it is difficult for flowers to grow there. | Because of an unusual amount of rain, thousands of wildflowers grew in Death Valley in 2016.",https://uk.ixl.com/english/year-9/determine-the-main-idea-of-a-passage
Match the quotations with their themes,2,unknown,"Read the quotations below from Libba Bray's A Great and Terrible Beauty. Match each one with the theme or lesson it suggests. Not being able to talk about something can be a burden. Good things stand out only next to bad things. Quotation Theme And I could only stand by . . . The keeper of a secret so terrible it made me afraid to speak, scared that it would pour out of me like kerosene, burning everyone. 'Because you don't notice the light without a bit of shadow. Everything has both dark and light.' © 2003 Martha E. Bray Submit",,https://uk.ixl.com/english/year-9/match-the-quotations-with-their-themes
Determine the themes of short stories,1,multiple-choice,"Read the following story. The Puddle Marco was frustrated. It was another rainy day in the city. His paintbrushes and easel sat in the dreary light of the grey morning. On his wall hung his best paintings: an apple orchard with red fruit bursting with colour; a beach under a blue sky; and the ocean sparkling in the summer sun. He fondly recalled painting each scene. Last week, Marco had been painting the flower garden in the park when the rain started. His canvas of pink blossoms was now leaning against the back of the easel in his flat, half-finished, waiting. The thick clouds and pouring rain showed no sign of leaving. Later that morning, as Marco gazed out the window, something small caught his eye: a puddle in the street reflected the neon sign of a shopfront. After studying the puddle, Marco set up his easel by the window. Instead of seeing a simple, gloomy blur, Marco noticed that the puddle captured not only the neon sign but also the steel-coloured sky and a leafless tree branch. Marco noted the richness of the paint colours as he mixed different greys. Bright orchards and sunny beaches were a familiar challenge, but there were no sharp contrasts in the dark, watery world in that puddle. It was hard at first, but Marco's brushstrokes grew more confident as the morning wore on. Soon he had developed the right techniques for creating the misty shadows and fuzzy neon light. Hours passed before Marco realised how immersed he was. After he had finished the scene and the paint had dried, he hung the canvas on his wall. The new painting added depth to his collection, and even more depth to his pride as an artist. Which of the following best describes the main theme or lesson of the story?",Stick to doing what you know. | It's good to tackle new challenges.,https://uk.ixl.com/english/year-9/determine-the-themes-of-short-stories
Identify the author's purpose,1,multiple-choice,"Read the text. Good study habits train your brain for success. Applying effective learning methods will not only improve your grades but, more importantly, increase your long-term knowledge. Cramming at the last minute is ineffective. Instead, try to create a study routine. Schedule specific blocks of time to study every day. Next, find the best environment that helps you concentrate. Some students do better with the silence of a library, while others need the background noise or music of a public space. Now that you have a time and a place, you need a strategy. Look at your tasks and make a list. Setting small, manageable goals for your study session will help you work efficiently. Do the most difficult assignments first, while your mind is fresh. Finally, do not be afraid to take limited breaks to restore your motivation. Which author's purpose is suggested by the text?",to explain some productive study techniques to readers | to inform readers about the results of good study habits,https://uk.ixl.com/english/year-9/identify-the-authors-purpose
Which sentence is more formal?,1,multiple-choice,Which sentence is more formal?,Dr Hall and her team travelled on horseback to a remote village that had no modern medical services. | Dr Hall and her team took horses and went to a place that had no modern medical services.,https://uk.ixl.com/english/year-9/which-sentence-is-more-formal
Compare passages for tone,1,unknown,"Select the passage that has a more concerned tone. Then I could hear a policeman giving orders, but I did not even open my eyes; I could only draw a breath now and then. I cannot tell how long I lay there, but I found my life coming back, and a kind-voiced man was patting me and encouraging me to rise. I gasped for breath—and yet the officers heard it not. Why would they not be gone? I paced the floor to and fro with heavy strides, as if excited to fury by the observations of the men—but the noise steadily increased. Oh, God! What could I do? Adapted from Anna Sewell, Black Beauty and Edgar Allen Poe, 'The Tell-Tale Heart' Submit",,https://uk.ixl.com/english/year-9/compare-passages-for-tone
Determine the author's point of view,2,multiple-choice,"Read the text. When I decided it was time for a new hobby, I signed up for a 'Clowning for Fun and Profit' class at my local arts centre. I cheerily skipped through the door on the first day of class, but my heart sank as soon as I spotted the instructor, Bobo. Bobo turned out to be a sad-faced clown who refused to speak. It was clear he planned to teach entirely in mime. As he silently motioned for me to find my seat, I resigned myself to a bad experience. So imagine my surprise when this crazy class turned out to be invaluable to me! Although I didn't hear a single spoken word for five hours, Bobo somehow managed to express his ideas clearly and in an engaging way. By the end of the first session, he had expertly taught me how to make balloon animals, apply makeup, juggle beanbags and develop my own personal clown character. As I eagerly await the second session, 'All About Unicycles', I will begin clowning around as a volunteer at a local children's hospital. Which sentence best summarises the author's point of view about the clown class?","Bobo's sad demeanour and poor mime skills make it difficult for his students to learn effective clowning techniques. | Bobo uses eccentric teaching methods to efficiently teach this course, making him an excellent clowning instructor.",https://uk.ixl.com/english/year-9/determine-the-authors-point-of-view
Compare and contrast in informational texts,1,unknown,"Use the text to compare and contrast Creole cuisine and Cajun cuisine. Thanks to Cajun and Creole cuisines, no other state in America has such distinctive food as Louisiana does. The word Cajun describes French settlers who were forced out of Canada and settled in south Louisiana. In their new rural surroundings, these poor settlers developed their own type of food. Creole cuisine is different from Cajun in that it reflects a blend of many cultures. African, Caribbean, Native American, Spanish and Italian influences can all be found in Creole food. Unlike Cajun cuisine, Creole cuisine was born in the kitchens of New Orleans's upper class, who had access to ingredients like tomatoes, butter and oysters. For this reason, Creole cuisine tends to have more variety. Creole cuisine Cajun cuisine Is found in Louisiana Reflects a wide mix of cultures Developed in the kitchens of the wealthy Submit",,https://uk.ixl.com/english/year-9/compare-and-contrast-in-informational-texts
Match causes and effects in informational texts,1,unknown,"Read the text. Black mambas are fast, aggressive and venomous. It is no wonder that they are considered one of the deadliest snakes in the world. In general, the snakes actually try to avoid confrontation. However, a perceived threat to a black mamba will result in several reactions meant to warn a potential victim. First, the black mamba raises its head, spreads out its neck-flap, opens its black mouth and hisses. A threat that continues will lead to a more dangerous reaction: the mamba will bite its victim repeatedly, injecting its poisonous venom. For most of history, a mamba bite would mean certain death. Today, though, an effective antivenom is available. Match causes with their effects. Black mamba injects victim with venom. Black mamba hisses. Cause Effect Black mamba perceives a new threat. Black mamba perceives a continuing threat. Submit",,https://uk.ixl.com/english/year-9/match-causes-and-effects-in-informational-texts
Match problems with their solutions,1,unknown,"Read the text. Before British scientist Alexander Fleming discovered antibiotics in the 1920s, bacterial infections could be deadly. After antibiotics were developed, though, doctors were able to treat infections and save lives. Over the years, however, antibiotics were overused. As a result, antibiotic-resistant bacteria—also known as superbugs—have appeared. According to the Centers for Disease Control and Prevention in the United States, about two million people become infected with superbugs every year. Canadian scientists may have stumbled on a surprising tool to combat the overuse of the drugs. By mixing maple syrup extract with antibiotics, the researchers were able to increase their effectiveness while reducing the dose amount. Match the problems with their solutions. Antibiotics were invented. Scientists mixed maple syrup with medication. Problem Solution Infections killed people. Superbugs emerged. Submit",,https://uk.ixl.com/english/year-9/match-problems-with-their-solutions
